jerseyNumber,person.id,person.fullName,person.link,position.code,position.name,position.type,position.abbreviation
39,8476545,Kurtis Gabriel,/api/v1/people/8476545,R,Right Wing,Forward,RW
28,8476923,Damon Severson,/api/v1/people/8476923,D,Defenseman,Defenseman,D
8,8477355,Will Butcher,/api/v1/people/8477355,D,Defenseman,Defenseman,D
16,8477463,Steven Santini,/api/v1/people/8477463,D,Defenseman,Defenseman,D
25,8477509,Mirco Mueller,/api/v1/people/8477509,D,Defenseman,Defenseman,D
37,8478401,Pavel Zacha,/api/v1/people/8478401,C,Center,Forward,C
43,8478881,Brett Seney,/api/v1/people/8478881,L,Left Wing,Forward,LW
15,8479250,Nick Lappin,/api/v1/people/8479250,R,Right Wing,Forward,RW
58,8479291,Kevin Rooney,/api/v1/people/8479291,C,Center,Forward,C
49,8479315,Joey Anderson,/api/v1/people/8479315,R,Right Wing,Forward,RW
63,8479407,Jesper Bratt,/api/v1/people/8479407,L,Left Wing,Forward,LW
13,8480002,Nico Hischier,/api/v1/people/8480002,C,Center,Forward,C
9,8469459,Mikko Koivu,/api/v1/people/8469459,C,Center,Forward,C
24,8476856,Matt Dumba,/api/v1/people/8476856,D,Defenseman,Defenseman,D
26,8476857,Pontus Aberg,/api/v1/people/8476857,L,Left Wing,Forward,LW
15,8468611,Matt Hendricks,/api/v1/people/8468611,C,Center,Forward,C
12,8470595,Eric Staal,/api/v1/people/8470595,C,Center,Forward,C
20,8470600,Ryan Suter,/api/v1/people/8470600,D,Defenseman,Defenseman,D
11,8470610,Zach Parise,/api/v1/people/8470610,L,Left Wing,Forward,LW
21,8470611,Eric Fehr,/api/v1/people/8470611,C,Center,Forward,C
40,8471227,Devan Dubnyk,/api/v1/people/8471227,G,Goalie,Goalie,G
32,8471774,Alex Stalock,/api/v1/people/8471774,G,Goalie,Goalie,G
29,8474688,Greg Pateryn,/api/v1/people/8474688,D,Defenseman,Defenseman,D
46,8474716,Jared Spurgeon,/api/v1/people/8474716,D,Defenseman,Defenseman,D
17,8475220,Marcus Foligno,/api/v1/people/8475220,L,Left Wing,Forward,LW
16,8475722,Jason Zucker,/api/v1/people/8475722,L,Left Wing,Forward,LW
3,8475745,Charlie Coyle,/api/v1/people/8475745,C,Center,Forward,C
64,8475798,Mikael Granlund,/api/v1/people/8475798,R,Right Wing,Forward,RW
2,8475868,Anthony Bitetto,/api/v1/people/8475868,D,Defenseman,Defenseman,D
36,8476372,Nick Seeler,/api/v1/people/8476372,D,Defenseman,Defenseman,D
37,8476415,Kyle Rau,/api/v1/people/8476415,C,Center,Forward,C
49,8476437,Victor Rask,/api/v1/people/8476437,C,Center,Forward,C
25,8476463,Jonas Brodin,/api/v1/people/8476463,D,Defenseman,Defenseman,D
77,8476779,Brad Hunt,/api/v1/people/8476779,D,Defenseman,Defenseman,D
18,8478413,Jordan Greenway,/api/v1/people/8478413,L,Left Wing,Forward,LW
14,8478493,Joel Eriksson Ek,/api/v1/people/8478493,C,Center,Forward,C
19,8479316,Luke Kunin,/api/v1/people/8479316,C,Center,Forward,C
4,8474602,Justin Schultz,/api/v1/people/8474602,D,Defenseman,Defenseman,D
3,8476874,Olli Maatta,/api/v1/people/8476874,D,Defenseman,Defenseman,D
7,8464989,Matt Cullen,/api/v1/people/8464989,C,Center,Forward,C
71,8471215,Evgeni Malkin,/api/v1/people/8471215,C,Center,Forward,C
87,8471675,Sidney Crosby,/api/v1/people/8471675,C,Center,Forward,C
73,8471677,Jack Johnson,/api/v1/people/8471677,D,Defenseman,Defenseman,D
58,8471724,Kris Letang,/api/v1/people/8471724,D,Defenseman,Defenseman,D
72,8471887,Patric Hornqvist,/api/v1/people/8471887,R,Right Wing,Forward,RW
81,8473548,Phil Kessel,/api/v1/people/8473548,R,Right Wing,Forward,RW
8,8475208,Brian Dumoulin,/api/v1/people/8475208,D,Defenseman,Defenseman,D
10,8475253,Garrett Wilson,/api/v1/people/8475253,L,Left Wing,Forward,LW
27,8475760,Nick Bjugstad,/api/v1/people/8475760,C,Center,Forward,C
17,8475810,Bryan Rust,/api/v1/people/8475810,R,Right Wing,Forward,RW
14,8476871,Tanner Pearson,/api/v1/people/8476871,L,Left Wing,Forward,LW
30,8476899,Matt Murray,/api/v1/people/8476899,G,Goalie,Goalie,G
53,8476927,Teddy Blueger,/api/v1/people/8476927,C,Center,Forward,C
2,8477244,Chad Ruhwedel,/api/v1/people/8477244,D,Defenseman,Defenseman,D
59,8477404,Jake Guentzel,/api/v1/people/8477404,L,Left Wing,Forward,LW
19,8477955,Jared McCann,/api/v1/people/8477955,C,Center,Forward,C
28,8477969,Marcus Pettersson,/api/v1/people/8477969,D,Defenseman,Defenseman,D
12,8478866,Dominik Simon,/api/v1/people/8478866,C,Center,Forward,C
1,8479193,Casey DeSmith,/api/v1/people/8479193,G,Goalie,Goalie,G
46,8479944,Zach Aston-Reese,/api/v1/people/8479944,C,Center,Forward,C
50,8480945,Juuso Riikola,/api/v1/people/8480945,D,Defenseman,Defenseman,D
76,8477380,Jonny Brodzinski,/api/v1/people/8477380,L,Left Wing,Forward,LW
17,8469454,Ilya Kovalchuk,/api/v1/people/8469454,L,Left Wing,Forward,LW
3,8470602,Dion Phaneuf,/api/v1/people/8470602,D,Defenseman,Defenseman,D
77,8470604,Jeff Carter,/api/v1/people/8470604,C,Center,Forward,C
23,8470606,Dustin Brown,/api/v1/people/8470606,R,Right Wing,Forward,RW
11,8471685,Anze Kopitar,/api/v1/people/8471685,C,Center,Forward,C
32,8471734,Jonathan Quick,/api/v1/people/8471734,G,Goalie,Goalie,G
22,8473453,Trevor Lewis,/api/v1/people/8473453,C,Center,Forward,C
27,8474166,Alec Martinez,/api/v1/people/8474166,D,Defenseman,Defenseman,D
62,8474176,Carl Hagelin,/api/v1/people/8474176,L,Left Wing,Forward,LW
8,8474563,Drew Doughty,/api/v1/people/8474563,D,Defenseman,Defenseman,D
13,8475160,Kyle Clifford,/api/v1/people/8475160,L,Left Wing,Forward,LW
73,8475726,Tyler Toffoli,/api/v1/people/8475726,R,Right Wing,Forward,RW
24,8475762,Derek Forbort,/api/v1/people/8475762,D,Defenseman,Defenseman,D
36,8475789,Jack Campbell,/api/v1/people/8475789,G,Goalie,Goalie,G
14,8476894,Brendan Leipsic,/api/v1/people/8476894,L,Left Wing,Forward,LW
2,8476983,Paul LaDue,/api/v1/people/8476983,D,Defenseman,Defenseman,D
9,8477960,Adrian Kempe,/api/v1/people/8477960,C,Center,Forward,C
10,8478020,Michael Amadio,/api/v1/people/8478020,C,Center,Forward,C
51,8478455,Austin Wagner,/api/v1/people/8478455,L,Left Wing,Forward,LW
19,8480113,Alex Iafallo,/api/v1/people/8480113,L,Left Wing,Forward,LW
7,8480147,Oscar Fantenberg,/api/v1/people/8480147,D,Defenseman,Defenseman,D
61,8480336,Sean Walker,/api/v1/people/8480336,D,Defenseman,Defenseman,D
18,8470622,Patrick Eaves,/api/v1/people/8470622,R,Right Wing,Forward,RW
1,8473434,Chad Johnson,/api/v1/people/8473434,G,Goalie,Goalie,G
36,8476434,John Gibson,/api/v1/people/8476434,G,Goalie,Goalie,G
25,8478131,Ondrej Kase,/api/v1/people/8478131,R,Right Wing,Forward,RW
30,8468011,Ryan Miller,/api/v1/people/8468011,G,Goalie,Goalie,G
15,8470612,Ryan Getzlaf,/api/v1/people/8470612,C,Center,Forward,C
17,8470616,Ryan Kesler,/api/v1/people/8470616,C,Center,Forward,C
10,8470621,Corey Perry,/api/v1/people/8470621,R,Right Wing,Forward,RW
44,8474584,Michael Del Zotto,/api/v1/people/8474584,D,Defenseman,Defenseman,D
14,8474641,Adam Henrique,/api/v1/people/8474641,C,Center,Forward,C
38,8474683,Derek Grant,/api/v1/people/8474683,C,Center,Forward,C
33,8475164,Jakob Silfverberg,/api/v1/people/8475164,R,Right Wing,Forward,RW
4,8475764,Cam Fowler,/api/v1/people/8475764,D,Defenseman,Defenseman,D
23,8476207,Brian Gibbons,/api/v1/people/8476207,L,Left Wing,Forward,LW
42,8476312,Josh Manson,/api/v1/people/8476312,D,Defenseman,Defenseman,D
45,8476407,Andy Welinski,/api/v1/people/8476407,D,Defenseman,Defenseman,D
67,8476483,Rickard Rakell,/api/v1/people/8476483,L,Left Wing,Forward,LW
47,8476854,Hampus Lindholm,/api/v1/people/8476854,D,Defenseman,Defenseman,D
29,8476913,Devin Shore,/api/v1/people/8476913,C,Center,Forward,C
43,8477034,Jaycob Megna,/api/v1/people/8477034,D,Defenseman,Defenseman,D
24,8477240,Carter Rowney,/api/v1/people/8477240,C,Center,Forward,C
37,8477941,Nick Ritchie,/api/v1/people/8477941,L,Left Wing,Forward,LW
26,8477986,Brandon Montour,/api/v1/people/8477986,D,Defenseman,Defenseman,D
11,8478466,Daniel Sprong,/api/v1/people/8478466,R,Right Wing,Forward,RW
61,8478873,Troy Terry,/api/v1/people/8478873,R,Right Wing,Forward,RW
40,8479294,Kevin Boyle,/api/v1/people/8479294,G,Goalie,Goalie,G
49,8479368,Max Jones,/api/v1/people/8479368,L,Left Wing,Forward,LW
11,8473533,Jordan Staal,/api/v1/people/8473533,C,Center,Forward,C
14,8468508,Justin Williams,/api/v1/people/8468508,R,Right Wing,Forward,RW
35,8470147,Curtis McElhinney,/api/v1/people/8470147,G,Goalie,Goalie,G
44,8475177,Calvin de Haan,/api/v1/people/8475177,D,Defenseman,Defenseman,D
42,8475735,Greg McKegg,/api/v1/people/8475735,C,Center,Forward,C
27,8475753,Justin Faulk,/api/v1/people/8475753,D,Defenseman,Defenseman,D
21,8475799,Nino Niederreiter,/api/v1/people/8475799,R,Right Wing,Forward,RW
34,8475852,Petr Mrazek,/api/v1/people/8475852,G,Goalie,Goalie,G
79,8475907,Micheal Ferland,/api/v1/people/8475907,L,Left Wing,Forward,LW
19,8476462,Dougie Hamilton,/api/v1/people/8476462,D,Defenseman,Defenseman,D
86,8476882,Teuvo Teravainen,/api/v1/people/8476882,L,Left Wing,Forward,LW
48,8476921,Jordan Martinook,/api/v1/people/8476921,L,Left Wing,Forward,LW
23,8476934,Brock McGinn,/api/v1/people/8476934,L,Left Wing,Forward,LW
74,8476958,Jaccob Slavin,/api/v1/people/8476958,D,Defenseman,Defenseman,D
8,8477357,Saku Maenalanen,/api/v1/people/8477357,R,Right Wing,Forward,RW
22,8477488,Brett Pesce,/api/v1/people/8477488,D,Defenseman,Defenseman,D
57,8477845,Trevor van Riemsdyk,/api/v1/people/8477845,D,Defenseman,Defenseman,D
13,8477998,Warren Foegele,/api/v1/people/8477998,L,Left Wing,Forward,LW
71,8478027,Lucas Wallmark,/api/v1/people/8478027,C,Center,Forward,C
20,8478427,Sebastian Aho,/api/v1/people/8478427,C,Center,Forward,C
37,8480830,Andrei Svechnikov,/api/v1/people/8480830,R,Right Wing,Forward,RW
36,8474736,Zac Rinaldo,/api/v1/people/8474736,L,Left Wing,Forward,LW
20,8476447,Miikka Salomaki,/api/v1/people/8476447,R,Right Wing,Forward,RW
5,8469465,Dan Hamhuis,/api/v1/people/8469465,D,Defenseman,Defenseman,D
11,8470619,Brian Boyle,/api/v1/people/8470619,C,Center,Forward,C
35,8471469,Pekka Rinne,/api/v1/people/8471469,G,Goalie,Goalie,G
55,8471657,Cody McLeod,/api/v1/people/8471657,L,Left Wing,Forward,LW
13,8474009,Nick Bonino,/api/v1/people/8474009,C,Center,Forward,C
76,8474056,P.K. Subban,/api/v1/people/8474056,D,Defenseman,Defenseman,D
8,8474068,Kyle Turris,/api/v1/people/8474068,C,Center,Forward,C
7,8474134,Yannick Weber,/api/v1/people/8474134,D,Defenseman,Defenseman,D
59,8474600,Roman Josi,/api/v1/people/8474600,D,Defenseman,Defenseman,D
4,8475176,Ryan Ellis,/api/v1/people/8475176,D,Defenseman,Defenseman,D
14,8475218,Mattias Ekholm,/api/v1/people/8475218,D,Defenseman,Defenseman,D
15,8475225,Craig Smith,/api/v1/people/8475225,R,Right Wing,Forward,RW
52,8475625,Matt Irwin,/api/v1/people/8475625,D,Defenseman,Defenseman,D
19,8475714,Calle Jarnkrok,/api/v1/people/8475714,C,Center,Forward,C
92,8475793,Ryan Johansen,/api/v1/people/8475793,C,Center,Forward,C
23,8476428,Rocco Grimaldi,/api/v1/people/8476428,C,Center,Forward,C
9,8476887,Filip Forsberg,/api/v1/people/8476887,L,Left Wing,Forward,LW
10,8476925,Colton Sissons,/api/v1/people/8476925,C,Center,Forward,C
74,8477424,Juuse Saros,/api/v1/people/8477424,G,Goalie,Goalie,G
38,8477451,Ryan Hartman,/api/v1/people/8477451,R,Right Wing,Forward,RW
89,8477919,Frederick Gaudreau,/api/v1/people/8477919,C,Center,Forward,C
